movie_title,actor_1_name,actor_2_name,actor_3_name
Avatar ,CCH Pounder,Joel David Moore,Wes Studi
Pirates of the Caribbean: At World's End ,Johnny Depp,Orlando Bloom,Jack Davenport
Spectre ,Christoph Waltz,Rory Kinnear,Stephanie Sigman
The Dark Knight Rises ,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
Star Wars: Episode VII - The Force Awakens             ,Doug Walker,Rob Walker,
John Carter ,Daryl Sabara,Samantha Morton,Polly Walker
Spider-Man 3,J.K. Simmons,James Franco,Kirsten Dunst
Tangled ,Brad Garrett,Donna Murphy,M.C. Gainey
Avengers: Age of Ultron ,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Harry Potter and the Half-Blood Prince ,Alan Rickman,Daniel Radcliffe,Rupert Grint
Batman v Superman: Dawn of Justice ,Henry Cavill,Lauren Cohan,Alan D. Purwin
Superman Returns ,Kevin Spacey,Marlon Brando,Frank Langella
Quantum of Solace ,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear
Pirates of the Caribbean: Dead Man's Chest ,Johnny Depp,Orlando Bloom,Jack Davenport
The Lone Ranger ,Johnny Depp,Ruth Wilson,Tom Wilkinson
Man of Steel ,Henry Cavill,Christopher Meloni,Harry Lennix
The Chronicles of Narnia: Prince Caspian ,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
The Avengers ,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Pirates of the Caribbean: On Stranger Tides ,Johnny Depp,Sam Claflin,Stephen Graham
Men in Black 3,Will Smith,Michael Stuhlbarg,Nicole Scherzinger
The Hobbit: The Battle of the Five Armies ,Aidan Turner,Adam Brown,James Nesbitt
The Amazing Spider-Man ,Emma Stone,Andrew Garfield,Chris Zylka
Robin Hood ,Mark Addy,William Hurt,Scott Grimes
The Hobbit: The Desolation of Smaug ,Aidan Turner,Adam Brown,James Nesbitt
The Golden Compass ,Christopher Lee,Eva Green,Kristin Scott Thomas
King Kong ,Naomi Watts,Thomas Kretschmann,Evan Parke
Titanic ,Leonardo DiCaprio,Kate Winslet,Gloria Stuart
Captain America: Civil War ,Robert Downey Jr.,Scarlett Johansson,Chris Evans
Battleship ,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
Jurassic World ,Bryce Dallas Howard,Judy Greer,Omar Sy
Skyfall ,Albert Finney,Helen McCrory,Rory Kinnear
Spider-Man 2,J.K. Simmons,James Franco,Kirsten Dunst
Iron Man 3,Robert Downey Jr.,Jon Favreau,Don Cheadle
Alice in Wonderland ,Johnny Depp,Alan Rickman,Anne Hathaway
X-Men: The Last Stand ,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
Monsters University ,Steve Buscemi,Tyler Labine,Sean Hayes
Transformers: Revenge of the Fallen ,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
Transformers: Age of Extinction ,Bingbing Li,Sophia Myles,Kelsey Grammer
Oz the Great and Powerful ,Tim Holmes,Mila Kunis,James Franco
The Amazing Spider-Man 2,Emma Stone,Andrew Garfield,B.J. Novak
TRON: Legacy ,Jeff Bridges,Olivia Wilde,James Frain
Cars 2,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
Green Lantern ,Ryan Reynolds,Temuera Morrison,Taika Waititi
Toy Story 3,Tom Hanks,John Ratzenberger,Don Rickles
Terminator Salvation ,Christian Bale,Bryce Dallas Howard,Common
Furious 7,Jason Statham,Paul Walker,Vin Diesel
World War Z ,Peter Capaldi,Brad Pitt,Mireille Enos
X-Men: Days of Future Past ,Jennifer Lawrence,Peter Dinklage,Hugh Jackman
Star Trek Into Darkness ,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
Jack the Giant Slayer ,Eddie Marsan,Ewen Bremner,Ralph Brown
The Great Gatsby ,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
Prince of Persia: The Sands of Time ,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
Pacific Rim ,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
Transformers: Dark of the Moon ,Glenn Morshower,Lester Speight,Kevin Dunn
Indiana Jones and the Kingdom of the Crystal Skull ,Harrison Ford,Ray Winstone,Jim Broadbent
The Good Dinosaur ,A.J. Buckley,Jack McGraw,Peter Sohn
Brave ,Kelly Macdonald,John Ratzenberger,Julie Walters
Star Trek Beyond ,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
WALL·E ,John Ratzenberger,Fred Willard,Jeff Garlin
Rush Hour 3,Tzi Ma,Dana Ivey,Noémie Lenoir
2012,Oliver Platt,Liam James,Tom McCarthy
A Christmas Carol ,Robin Wright,Colin Firth,Gary Oldman
Jupiter Ascending ,Channing Tatum,Mila Kunis,Eddie Redmayne
The Legend of Tarzan ,Christoph Waltz,Alexander Skarsgård,Casper Crump
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Jim Broadbent,Kiran Shah,Shane Rangi
X-Men: Apocalypse ,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
The Dark Knight ,Christian Bale,Heath Ledger,Morgan Freeman
Up ,John Ratzenberger,Delroy Lindo,Jess Harnell
Monsters vs. Aliens ,Amy Poehler,Rainn Wilson,Stephen Colbert
Iron Man ,Robert Downey Jr.,Jeff Bridges,Jon Favreau
Hugo ,Chloë Grace Moretz,Christopher Lee,Ray Winstone
Wild Wild West ,Will Smith,Salma Hayek,Bai Ling
The Mummy: Tomb of the Dragon Emperor ,Jet Li,Brendan Fraser,Russell Wong
Suicide Squad ,Will Smith,Robin Atkin Downes,Ike Barinholtz
Evan Almighty ,Jimmy Bennett,Morgan Freeman,Steve Carell
Edge of Tomorrow ,Tom Cruise,Lara Pulver,Noah Taylor
Waterworld ,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
G.I. Joe: The Rise of Cobra ,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
Inside Out ,Amy Poehler,Mindy Kaling,Phyllis Smith
The Jungle Book ,Scarlett Johansson,Bill Murray,Garry Shandling
